,canada_ratio,usa_ratio
2005-01-01,66.8723752980817,87.1575250015338
2005-04-01,68.8038745348518,89.7081262654151
2005-07-01,70.8695896847896,92.3936514510093
2005-10-01,72.5351894709445,94.6481225842076
2006-01-01,70.0293464403409,91.9520541996005
2006-04-01,71.8992465608805,94.4725382900489
2006-07-01,74.0831241931733,96.901285503344
2006-10-01,76.0479057920465,98.9000839630562
2007-01-01,73.6973912646633,95.6176589460594
2007-04-01,76.5573846345951,97.7250496571498
2007-07-01,78.9232287544663,99.4623141095393
2007-10-01,80.9807049803475,100.953679810698
2008-01-01,78.3403066067768,99.7641343683247
2008-04-01,80.7001154467512,99.3130465102895
2008-07-01,82.790830160509,100.28847957156
2008-10-01,83.9459011575453,98.2254457560503
2009-01-01,89.4033986409,99.4959127783092
2009-04-01,91.6737625482552,99.3460721575074
2009-07-01,93.5767316178483,99.3730371148048
2009-10-01,95.4493443150852,99.3404153183612
2010-01-01,90.5958891940688,94.8557094420052
2010-04-01,92.7325023048556,94.441249320967
2010-07-01,94.1049717655194,94.0283640580172
2010-10-01,95.4732396665642,94.1222508509716
2011-01-01,90.3614471413924,90.662848223286
2011-04-01,92.2256424940941,90.3809073557386
2011-07-01,93.7377083000998,90.075184017667
2011-10-01,94.6301230565093,90.0877227002399
2012-01-01,92.2900655155071,86.1827309669342
2012-04-01,93.740042830537,85.9040417867657
2012-07-01,95.0397903678906,86.1091980718533
2012-10-01,95.8070294401109,86.0930850654764
2013-01-01,92.3728096298746,82.8356327247306
2013-04-01,93.6806313796263,82.9007983922319
2013-07-01,95.0830254956375,83.3535501663132
2013-10-01,95.9368578318168,84.4448791724863
2014-01-01,91.8849485036328,80.9319584574382
2014-04-01,93.258803206981,81.4900737436025
2014-07-01,94.8136696713316,81.4954467563213
2014-10-01,95.6651919045485,81.8749307362822
2015-01-01,96.503387942672,78.7346166996915
2015-04-01,98.297914884189,79.475201203997
2015-07-01,100.006280015333,79.835581902145
2015-10-01,101.161903316903,79.9902614656412
2016-01-01,100.050505175176,77.8640606362095
2016-04-01,101.986536890254,78.5868971013795
2016-07-01,103.475773067362,79.5760279431509
2016-10-01,104.658670425344,80.1349818936513
2017-01-01,99.9568820741077,77.1445394867714
2017-04-01,101.721260127224,77.9444470825285
2017-07-01,103.126680279412,78.6703286125888
2017-10-01,104.074573924353,79.7470947207659
2018-01-01,100.113209657039,75.8747463724872
2018-04-01,101.365851476623,76.5147085688953
2018-07-01,102.533149943529,77.3451550751078
2018-10-01,103.388462097577,77.9449071108264
2019-01-01,100.168433786442,74.8263945425451
2019-04-01,101.629649884437,75.6577627429512
2019-07-01,103.005242950486,76.4141611221845
2019-10-01,103.985516338467,77.2000505319896
2020-01-01,109.182268697514,79.281029015854
2020-04-01,109.79538364773,79.3173843852827
2020-07-01,111.775794783674,80.5901860604248
2020-10-01,113.245639316211,81.9447059527371
2021-01-01,100.881984044949,75.3133175987641
2021-04-01,103.721788964791,76.7924134879539
2021-07-01,105.946543480101,78.138204019599
2021-10-01,107.914993568323,79.8348239862672
2022-01-01,96.9493596234061,74.1109582250333
2022-04-01,99.429962622915,75.5506571968886
2022-07-01,101.04779048274,76.8296142624555
